Date,Home,Score,Away,ScoreH,ScoreA,But,Result,Ds,Hs,As,DA,DH,HA,LDEMs,LDEMPs
2022-08-13,Schalke 04,2 - 2,Borussia Monchengladbach,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-08-13,Schalke 04,2 - 2,Borussia Monchengladbach,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-07-16,SV Sandhausen,2 - 1,Arminia Bielefeld,2,1,3,Home,0,1,0,0,1,1,1,0
2023-07-16,SV Sandhausen,2 - 1,Arminia Bielefeld,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-19,SV Sandhausen,0 - 3,Karlsruher SC,0,3,3,Away,0,0,1,1,0,1,0,1
2023-02-19,SV Sandhausen,0 - 3,Karlsruher SC,0,3,3,Away,0,0,1,1,0,1,0,1
2023-02-03,SV Sandhausen,0 - 4,SV Darmstadt 98,0,4,4,Away,0,0,1,1,0,1,0,1
2023-02-03,SV Sandhausen,0 - 4,SV Darmstadt 98,0,4,4,Away,0,0,1,1,0,1,0,1
2022-11-09,SV Sandhausen,3 - 4,1. FC Heidenheim,3,4,7,Away,0,0,1,1,0,1,1,0
2022-11-09,SV Sandhausen,3 - 4,1. FC Heidenheim,3,4,7,Away,0,0,1,1,0,1,1,0
2022-10-30,SV Sandhausen,2 - 2,TSV Eintracht Braunschweig,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-30,SV Sandhausen,2 - 2,TSV Eintracht Braunschweig,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-09,SV Sandhausen,1 - 0,1. FC Magdeburg,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-09,SV Sandhausen,1 - 0,1. FC Magdeburg,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-16,SV Sandhausen,2 - 3,Hannover 96,2,3,5,Away,0,0,1,1,0,1,1,0
2022-09-16,SV Sandhausen,2 - 3,Hannover 96,2,3,5,Away,0,0,1,1,0,1,1,0
2022-09-04,SV Sandhausen,0 - 0,Kaiserslautern,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-09-04,SV Sandhausen,0 - 0,Kaiserslautern,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-20,SV Sandhausen,1 - 2,Nurnberg,1,2,3,Away,0,0,1,1,0,1,1,0
2022-08-20,SV Sandhausen,1 - 2,Nurnberg,1,2,3,Away,0,0,1,1,0,1,1,0
2022-08-05,SV Sandhausen,1 - 0,Fortuna Düsseldorf,1,0,1,Home,0,1,0,0,1,1,0,1
2022-08-05,SV Sandhausen,1 - 0,Fortuna Düsseldorf,1,0,1,Home,0,1,0,0,1,1,0,1
2023-07-22,SV Darmstadt 98,2 - 1,SV Sandhausen,2,1,3,Home,0,1,0,0,1,1,1,0
2023-07-22,SV Darmstadt 98,2 - 1,SV Sandhausen,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-25,SV Darmstadt 98,1 - 1,Hamburg SV,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-25,SV Darmstadt 98,1 - 1,Hamburg SV,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-12,SV Darmstadt 98,2 - 1,TSV Eintracht Braunschweig,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-12,SV Darmstadt 98,2 - 1,TSV Eintracht Braunschweig,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-28,SV Darmstadt 98,2 - 0,SSV Jahn Regensburg,2,0,2,Home,0,1,0,0,1,1,0,1
2023-01-28,SV Darmstadt 98,2 - 0,SSV Jahn Regensburg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-11-13,SV Darmstadt 98,1 - 1,SpVgg Greuther Furth,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-13,SV Darmstadt 98,1 - 1,SpVgg Greuther Furth,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-04,SV Darmstadt 98,1 - 0,Hannover 96,1,0,1,Home,0,1,0,0,1,1,0,1
2022-11-04,SV Darmstadt 98,1 - 0,Hannover 96,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-21,SV Darmstadt 98,1 - 1,Holstein Kiel,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-21,SV Darmstadt 98,1 - 1,Holstein Kiel,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-08,SV Darmstadt 98,1 - 0,Fortuna Düsseldorf,1,0,1,Home,0,1,0,0,1,1,0,1
2022-10-08,SV Darmstadt 98,1 - 0,Fortuna Düsseldorf,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-17,SV Darmstadt 98,2 - 0,Nurnberg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-09-17,SV Darmstadt 98,2 - 0,Nurnberg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-09-04,SV Darmstadt 98,1 - 1,Arminia Bielefeld,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-09-04,SV Darmstadt 98,1 - 1,Arminia Bielefeld,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-08-27,SV Darmstadt 98,2 - 2,1. FC Heidenheim,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-08-27,SV Darmstadt 98,2 - 2,1. FC Heidenheim,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-08-13,SV Darmstadt 98,4 - 0,Hansa Rostock,4,0,4,Home,0,1,0,0,1,1,0,1
2022-08-13,SV Darmstadt 98,4 - 0,Hansa Rostock,4,0,4,Home,0,1,0,0,1,1,0,1
2023-07-16,SSV Jahn Regensburg,2 - 0,SV Darmstadt 98,2,0,2,Home,0,1,0,0,1,1,0,1
2023-07-16,SSV Jahn Regensburg,2 - 0,SV Darmstadt 98,2,0,2,Home,0,1,0,0,1,1,0,1
2023-02-18,SSV Jahn Regensburg,1 - 1,Hannover 96,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-18,SSV Jahn Regensburg,1 - 1,Hannover 96,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-02-04,SSV Jahn Regensburg,1 - 3,Arminia Bielefeld,1,3,4,Away,0,0,1,1,0,1,1,0
2023-02-04,SSV Jahn Regensburg,1 - 3,Arminia Bielefeld,1,3,4,Away,0,0,1,1,0,1,1,0
2022-11-09,SSV Jahn Regensburg,1 - 1,TSV Eintracht Braunschweig,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-09,SSV Jahn Regensburg,1 - 1,TSV Eintracht Braunschweig,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-29,SSV Jahn Regensburg,0 - 3,Hansa Rostock,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-29,SSV Jahn Regensburg,0 - 3,Hansa Rostock,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-22,SSV Jahn Regensburg,2 - 1,SV Sandhausen,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-22,SSV Jahn Regensburg,2 - 1,SV Sandhausen,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-07,SSV Jahn Regensburg,2 - 2,SpVgg Greuther Furth,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-10-07,SSV Jahn Regensburg,2 - 2,SpVgg Greuther Furth,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-09-18,SSV Jahn Regensburg,2 - 0,St. Pauli,2,0,2,Home,0,1,0,0,1,1,0,1
2022-09-18,SSV Jahn Regensburg,2 - 0,St. Pauli,2,0,2,Home,0,1,0,0,1,1,0,1
2022-09-03,SSV Jahn Regensburg,0 - 0,Holstein Kiel,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-09-03,SSV Jahn Regensburg,0 - 0,Holstein Kiel,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-20,SSV Jahn Regensburg,0 - 6,Karlsruher SC,0,6,6,Away,0,0,1,1,0,1,0,1
2022-08-20,SSV Jahn Regensburg,0 - 6,Karlsruher SC,0,6,6,Away,0,0,1,1,0,1,0,1
2022-08-06,SSV Jahn Regensburg,0 - 0,Nurnberg,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-06,SSV Jahn Regensburg,0 - 0,Nurnberg,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-07-17,SC Paderborn 07,5 - 0,Karlsruher SC,5,0,5,Home,0,1,0,0,1,1,0,1
2023-07-17,SC Paderborn 07,5 - 0,Karlsruher SC,5,0,5,Home,0,1,0,0,1,1,0,1
2023-02-17,SC Paderborn 07,1 - 0,Kaiserslautern,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-17,SC Paderborn 07,1 - 0,Kaiserslautern,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-03,SC Paderborn 07,4 - 1,Fortuna Düsseldorf,4,1,5,Home,0,1,0,0,1,1,1,0
2023-02-03,SC Paderborn 07,4 - 1,Fortuna Düsseldorf,4,1,5,Home,0,1,0,0,1,1,1,0
2022-11-08,SC Paderborn 07,0 - 2,Arminia Bielefeld,0,2,2,Away,0,0,1,1,0,1,0,1
2022-11-08,SC Paderborn 07,0 - 2,Arminia Bielefeld,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-30,SC Paderborn 07,2 - 3,Hamburg SV,2,3,5,Away,0,0,1,1,0,1,1,0
2022-10-30,SC Paderborn 07,2 - 3,Hamburg SV,2,3,5,Away,0,0,1,1,0,1,1,0
2022-10-16,SC Paderborn 07,3 - 0,SV Sandhausen,3,0,3,Home,0,1,0,0,1,1,0,1
2022-10-16,SC Paderborn 07,3 - 0,SV Sandhausen,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-30,SC Paderborn 07,1 - 2,SV Darmstadt 98,1,2,3,Away,0,0,1,1,0,1,1,0
2022-09-30,SC Paderborn 07,1 - 2,SV Darmstadt 98,1,2,3,Away,0,0,1,1,0,1,1,0
2022-09-10,SC Paderborn 07,3 - 0,SSV Jahn Regensburg,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-10,SC Paderborn 07,3 - 0,SSV Jahn Regensburg,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-03,SC Paderborn 07,1 - 0,1. FC Magdeburg,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-03,SC Paderborn 07,1 - 0,1. FC Magdeburg,1,0,1,Home,0,1,0,0,1,1,0,1
2022-08-20,SC Paderborn 07,7 - 2,Holstein Kiel,7,2,9,Home,0,1,0,0,1,1,1,0
2022-08-20,SC Paderborn 07,7 - 2,Holstein Kiel,7,2,9,Home,0,1,0,0,1,1,1,0
2022-08-06,SC Paderborn 07,4 - 2,Hannover 96,4,2,6,Home,0,1,0,0,1,1,1,0
2022-08-06,SC Paderborn 07,4 - 2,Hannover 96,4,2,6,Home,0,1,0,0,1,1,1,0
2023-02-11,SC Freiburg,2 - 1,VfB Stuttgart,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-11,SC Freiburg,2 - 1,VfB Stuttgart,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-28,SC Freiburg,3 - 1,FC Augsburg,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-28,SC Freiburg,3 - 1,FC Augsburg,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-25,SC Freiburg,1 - 1,Eintracht Frankfurt,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-01-25,SC Freiburg,1 - 1,Eintracht Frankfurt,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-13,SC Freiburg,4 - 1,1. FC Union Berlin,4,1,5,Home,0,1,0,0,1,1,1,0
2022-11-13,SC Freiburg,4 - 1,1. FC Union Berlin,4,1,5,Home,0,1,0,0,1,1,1,0
2022-11-06,SC Freiburg,2 - 0,FC Cologne,2,0,2,Home,0,1,0,0,1,1,0,1
2022-11-06,SC Freiburg,2 - 0,FC Cologne,2,0,2,Home,0,1,0,0,1,1,0,1
2022-10-22,SC Freiburg,2 - 0,Werder Bremen,2,0,2,Home,0,1,0,0,1,1,0,1
2022-10-22,SC Freiburg,2 - 0,Werder Bremen,2,0,2,Home,0,1,0,0,1,1,0,1
2022-10-01,SC Freiburg,2 - 1,Mainz,2,1,3,Home,0,1,0,0,1,1,1,0
2022-10-01,SC Freiburg,2 - 1,Mainz,2,1,3,Home,0,1,0,0,1,1,1,0
2022-09-11,SC Freiburg,0 - 0,Borussia Monchengladbach,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-09-11,SC Freiburg,0 - 0,Borussia Monchengladbach,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-26,SC Freiburg,1 - 0,VfL Bochum,1,0,1,Home,0,1,0,0,1,1,0,1
2022-08-26,SC Freiburg,1 - 0,VfL Bochum,1,0,1,Home,0,1,0,0,1,1,0,1
2022-08-12,SC Freiburg,1 - 3,Borussia Dortmund,1,3,4,Away,0,0,1,1,0,1,1,0
2022-08-12,SC Freiburg,1 - 3,Borussia Dortmund,1,3,4,Away,0,0,1,1,0,1,1,0
2023-02-25,RB Leipzig,2 - 1,Eintracht Frankfurt,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-25,RB Leipzig,2 - 1,Eintracht Frankfurt,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-11,RB Leipzig,1 - 2,1. FC Union Berlin,1,2,3,Away,0,0,1,1,0,1,1,0
2023-02-11,RB Leipzig,1 - 2,1. FC Union Berlin,1,2,3,Away,0,0,1,1,0,1,1,0
2023-01-27,RB Leipzig,2 - 1,VfB Stuttgart,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-27,RB Leipzig,2 - 1,VfB Stuttgart,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-20,RB Leipzig,1 - 1,Bayern Munich,1,1,2,Draw,1,0,0,1,1,0,1,0
2023-01-20,RB Leipzig,1 - 1,Bayern Munich,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-09,RB Leipzig,3 - 1,SC Freiburg,3,1,4,Home,0,1,0,0,1,1,1,0
2022-11-09,RB Leipzig,3 - 1,SC Freiburg,3,1,4,Home,0,1,0,0,1,1,1,0
2022-10-29,RB Leipzig,2 - 0,Bayer Leverkusen,2,0,2,Home,0,1,0,0,1,1,0,1
2022-10-29,RB Leipzig,2 - 0,Bayer Leverkusen,2,0,2,Home,0,1,0,0,1,1,0,1
2022-10-15,RB Leipzig,3 - 2,Hertha Berlin,3,2,5,Home,0,1,0,0,1,1,1,0
2022-10-15,RB Leipzig,3 - 2,Hertha Berlin,3,2,5,Home,0,1,0,0,1,1,1,0
2022-10-01,RB Leipzig,4 - 0,VfL Bochum,4,0,4,Home,0,1,0,0,1,1,0,1
2022-10-01,RB Leipzig,4 - 0,VfL Bochum,4,0,4,Home,0,1,0,0,1,1,0,1
2022-09-10,RB Leipzig,3 - 0,Borussia Dortmund,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-10,RB Leipzig,3 - 0,Borussia Dortmund,3,0,3,Home,0,1,0,0,1,1,0,1
2022-08-27,RB Leipzig,2 - 0,VfL Wolfsburg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-08-27,RB Leipzig,2 - 0,VfL Wolfsburg,2,0,2,Home,0,1,0,0,1,1,0,1
2022-08-13,RB Leipzig,2 - 2,FC Cologne,2,2,4,Draw,1,0,0,1,1,0,1,0
2022-08-13,RB Leipzig,2 - 2,FC Cologne,2,2,4,Draw,1,0,0,1,1,0,1,0
2023-07-23,Nurnberg,2 - 0,SpVgg Greuther Furth,2,0,2,Home,0,1,0,0,1,1,0,1
2023-07-23,Nurnberg,2 - 0,SpVgg Greuther Furth,2,0,2,Home,0,1,0,0,1,1,0,1
2023-02-25,Nurnberg,1 - 0,SV Sandhausen,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-25,Nurnberg,1 - 0,SV Sandhausen,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-11,Nurnberg,1 - 0,SSV Jahn Regensburg,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-11,Nurnberg,1 - 0,SSV Jahn Regensburg,1,0,1,Home,0,1,0,0,1,1,0,1
2023-01-29,Nurnberg,0 - 1,St. Pauli,0,1,1,Away,0,0,1,1,0,1,0,1
2023-01-29,Nurnberg,0 - 1,St. Pauli,0,1,1,Away,0,0,1,1,0,1,0,1
2022-11-13,Nurnberg,2 - 1,SC Paderborn 07,2,1,3,Home,0,1,0,0,1,1,1,0
2022-11-13,Nurnberg,2 - 1,SC Paderborn 07,2,1,3,Home,0,1,0,0,1,1,1,0
2022-11-06,Nurnberg,1 - 2,1. FC Magdeburg,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-06,Nurnberg,1 - 2,1. FC Magdeburg,1,2,3,Away,0,0,1,1,0,1,1,0
2022-10-22,Nurnberg,0 - 0,Hannover 96,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-10-22,Nurnberg,0 - 0,Hannover 96,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-10-09,Nurnberg,2 - 3,Holstein Kiel,2,3,5,Away,0,0,1,1,0,1,1,0
2022-10-09,Nurnberg,2 - 3,Holstein Kiel,2,3,5,Away,0,0,1,1,0,1,1,0
2022-09-09,Nurnberg,1 - 0,Arminia Bielefeld,1,0,1,Home,0,1,0,0,1,1,0,1
2022-09-09,Nurnberg,1 - 0,Arminia Bielefeld,1,0,1,Home,0,1,0,0,1,1,0,1
2022-08-27,Nurnberg,0 - 2,Hamburg SV,0,2,2,Away,0,0,1,1,0,1,0,1
2022-08-27,Nurnberg,0 - 2,Hamburg SV,0,2,2,Away,0,0,1,1,0,1,0,1
2022-08-12,Nurnberg,0 - 3,1. FC Heidenheim,0,3,3,Away,0,0,1,1,0,1,0,1
2022-08-12,Nurnberg,0 - 3,1. FC Heidenheim,0,3,3,Away,0,0,1,1,0,1,0,1
2023-02-24,Mainz,4 - 0,Borussia Monchengladbach,4,0,4,Home,0,1,0,0,1,1,0,1
2023-02-24,Mainz,4 - 0,Borussia Monchengladbach,4,0,4,Home,0,1,0,0,1,1,0,1
2023-02-11,Mainz,3 - 1,FC Augsburg,3,1,4,Home,0,1,0,0,1,1,1,0
2023-02-11,Mainz,3 - 1,FC Augsburg,3,1,4,Home,0,1,0,0,1,1,1,0
2023-01-28,Mainz,5 - 2,VfL Bochum,5,2,7,Home,0,1,0,0,1,1,1,0
2023-01-28,Mainz,5 - 2,VfL Bochum,5,2,7,Home,0,1,0,0,1,1,1,0
2023-01-25,Mainz,1 - 2,Borussia Dortmund,1,2,3,Away,0,0,1,1,0,1,1,0
2023-01-25,Mainz,1 - 2,Borussia Dortmund,1,2,3,Away,0,0,1,1,0,1,1,0
2022-11-13,Mainz,1 - 1,Eintracht Frankfurt,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-13,Mainz,1 - 1,Eintracht Frankfurt,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-11-05,Mainz,0 - 3,VfL Wolfsburg,0,3,3,Away,0,0,1,1,0,1,0,1
2022-11-05,Mainz,0 - 3,VfL Wolfsburg,0,3,3,Away,0,0,1,1,0,1,0,1
2022-10-21,Mainz,5 - 0,FC Cologne,5,0,5,Home,0,1,0,0,1,1,0,1
2022-10-21,Mainz,5 - 0,FC Cologne,5,0,5,Home,0,1,0,0,1,1,0,1
2022-10-08,Mainz,1 - 1,RB Leipzig,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-10-08,Mainz,1 - 1,RB Leipzig,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-09-16,Mainz,1 - 1,Hertha Berlin,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-09-16,Mainz,1 - 1,Hertha Berlin,1,1,2,Draw,1,0,0,1,1,0,1,0
2022-08-27,Mainz,0 - 3,Bayer Leverkusen,0,3,3,Away,0,0,1,1,0,1,0,1
2022-08-27,Mainz,0 - 3,Bayer Leverkusen,0,3,3,Away,0,0,1,1,0,1,0,1
2022-08-14,Mainz,0 - 0,1. FC Union Berlin,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-14,Mainz,0 - 0,1. FC Union Berlin,0,0,0,Draw,1,0,0,1,1,0,0,1
2023-07-24,Karlsruher SC,2 - 3,1. FC Magdeburg,2,3,5,Away,0,0,1,1,0,1,1,0
2023-07-24,Karlsruher SC,2 - 3,1. FC Magdeburg,2,3,5,Away,0,0,1,1,0,1,1,0
2023-02-24,Karlsruher SC,1 - 0,SSV Jahn Regensburg,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-24,Karlsruher SC,1 - 0,SSV Jahn Regensburg,1,0,1,Home,0,1,0,0,1,1,0,1
2023-02-10,Karlsruher SC,2 - 1,SpVgg Greuther Furth,2,1,3,Home,0,1,0,0,1,1,1,0
2023-02-10,Karlsruher SC,2 - 1,SpVgg Greuther Furth,2,1,3,Home,0,1,0,0,1,1,1,0
2023-01-27,Karlsruher SC,0 - 1,SC Paderborn 07,0,1,1,Away,0,0,1,1,0,1,0,1
2023-01-27,Karlsruher SC,0 - 1,SC Paderborn 07,0,1,1,Away,0,0,1,1,0,1,0,1
2022-11-12,Karlsruher SC,4 - 4,St. Pauli,4,4,8,Draw,1,0,0,1,1,0,1,0
2022-11-12,Karlsruher SC,4 - 4,St. Pauli,4,4,8,Draw,1,0,0,1,1,0,1,0
2022-11-05,Karlsruher SC,1 - 4,Holstein Kiel,1,4,5,Away,0,0,1,1,0,1,1,0
2022-11-05,Karlsruher SC,1 - 4,Holstein Kiel,1,4,5,Away,0,0,1,1,0,1,1,0
2022-10-23,Karlsruher SC,0 - 2,Fortuna Düsseldorf,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-23,Karlsruher SC,0 - 2,Fortuna Düsseldorf,0,2,2,Away,0,0,1,1,0,1,0,1
2022-10-15,Karlsruher SC,1 - 2,SV Darmstadt 98,1,2,3,Away,0,0,1,1,0,1,1,0
2022-10-15,Karlsruher SC,1 - 2,SV Darmstadt 98,1,2,3,Away,0,0,1,1,0,1,1,0
2022-10-02,Karlsruher SC,3 - 0,Nurnberg,3,0,3,Home,0,1,0,0,1,1,0,1
2022-10-02,Karlsruher SC,3 - 0,Nurnberg,3,0,3,Home,0,1,0,0,1,1,0,1
2022-09-10,Karlsruher SC,0 - 0,1. FC Heidenheim,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-09-10,Karlsruher SC,0 - 0,1. FC Heidenheim,0,0,0,Draw,1,0,0,1,1,0,0,1
2022-08-27,Karlsruher SC,2 - 0,Hansa Rostock,2,0,2,Home,0,1,0,0,1,1,0,1
2022-08-27,Karlsruher SC,2 - 0,Hansa Rostock,2,0,2,Home,0,1,0,0,1,1,0,1
2022-08-13,Karlsruher SC,3 - 2,SV Sandhausen,3,2,5,Home,0,1,0,0,1,1,1,0
